strategy,method,qid,query_style,question,first_relevant_rank,query_ms,retrieved_chars,retrieved_ids,hit@1,rr@1,hit@3,rr@3,hit@5,rr@5
hierarchical,semantic,q12,paraphrase,"How many vendor quotes are required for purchases over $10,000?",1,2.6,222.0,procurement-policy.md__hierarchical__0004|it-security-policy.md__hierarchical__0005|procurement-policy.md__hierarchical__0002|leave-policy.md__hierarchical__0006|procurement-policy.md__hierarchical__0003,1,1.0,1,1.0,1,1.0
hierarchical,semantic,q13,keyword,What is the minimum password length required by the IT security policy?,,3.6,156.4,code-of-conduct.md__hierarchical__0013|benefits-policy.md__hierarchical__0007|remote-work-policy.md__hierarchical__0011|data-privacy-policy.md__hierarchical__0006|expense-reimbursement-policy.md__hierarchical__0011,0,0.0,0,0.0,0,0.0
hierarchical,semantic,q14,paraphrase,How often must employees rotate their passwords?,,2.0,251.0,benefits-policy.md__hierarchical__0003|it-security-policy.md__hierarchical__0014|leave-policy.md__hierarchical__0008|benefits-policy.md__hierarchical__0001|procurement-policy.md__hierarchical__0013,0,0.0,0,0.0,0,0.0
hierarchical,semantic,q15,keyword,What is the annual tuition assistance limit Northwind reimburses?,2,1.8,207.4,leave-policy.md__hierarchical__0007|benefits-policy.md__hierarchical__0016|travel-policy.md__hierarchical__0007|leave-policy.md__hierarchical__0008|travel-policy.md__hierarchical__0004,0,0.0,1,0.5,1,0.5
hierarchical,semantic,q16,paraphrase,How much of the medical premium does Northwind cover for the employee?,2,1.7,206.2,benefits-policy.md__hierarchical__0007|benefits-policy.md__hierarchical__0009|benefits-policy.md__hierarchical__0006|expense-reimbursement-policy.md__hierarchical__0011|data-privacy-policy.md__hierarchical__0008,0,0.0,1,0.5,1,0.5
hierarchical,semantic,q17,keyword,What value of gift requires disclosure in the Gifts Register?,1,1.8,201.6,code-of-conduct.md__hierarchical__0009|data-privacy-policy.md__hierarchical__0008|remote-work-policy.md__hierarchical__0004|expense-reimbursement-policy.md__hierarchical__0011|travel-policy.md__hierarchical__0007,1,1.0,1,1.0,1,1.0
hierarchical,semantic,q18,paraphrase,Within how many days must a new employee complete mandatory training modules?,1,1.6,264.8,onboarding-guide.md__hierarchical__0007|code-of-conduct.md__hierarchical__0006|benefits-policy.md__hierarchical__0003|procurement-policy.md__hierarchical__0013|travel-policy.md__hierarchical__0003,1,1.0,1,1.0,1,1.0
hierarchical,semantic,q19,keyword,What is the daily per diem for domestic business travel?,3,2.3,191.2,travel-policy.md__hierarchical__0007|expense-reimbursement-policy.md__hierarchical__0011|travel-policy.md__hierarchical__0006|travel-policy.md__hierarchical__0004|travel-policy.md__hierarchical__0001,0,0.0,1,0.3333,1,0.3333
hierarchical,semantic,q20,paraphrase,How much parental leave does the primary caregiver receive?,2,2.1,142.6,leave-policy.md__hierarchical__0010|leave-policy.md__hierarchical__0011|benefits-policy.md__hierarchical__0012|expense-reimbursement-policy.md__hierarchical__0014|benefits-policy.md__hierarchical__0007,0,0.0,1,0.5,1,0.5
hierarchical,hybrid,q01,paraphrase,How many days of paid annual leave does a full-time employee receive?,1,2.7,250.2,leave-policy.md__hierarchical__0002|leave-policy.md__hierarchical__0005|leave-policy.md__hierarchical__0017|leave-policy.md__hierarchical__0008|leave-policy.md__hierarchical__0016,1,1.0,1,1.0,1,1.0
hierarchical,hybrid,q02,keyword,What is the carryover limit for unused annual leave days?,1,2.4,220.2,leave-policy.md__hierarchical__0005|leave-policy.md__hierarchical__0008|travel-policy.md__hierarchical__0004|leave-policy.md__hierarchical__0006|leave-policy.md__hierarchical__0003,1,1.0,1,1.0,1,1.0
hierarchical,hybrid,q03,paraphrase,How much does the company reimburse per mile when I drive my own car?,4,2.7,204.0,expense-reimbursement-policy.md__hierarchical__0009|expense-reimbursement-policy.md__hierarchical__0011|leave-policy.md__hierarchical__0008|travel-policy.md__hierarchical__0010|remote-work-policy.md__hierarchical__0010,0,0.0,0,0.0,1,0.25
hierarchical,hybrid,q04,keyword,What is the submission deadline for expense claims after an expense is incurred?,1,2.5,198.6,expense-reimbursement-policy.md__hierarchical__0003|onboarding-guide.md__hierarchical__0008|expense-reimbursement-policy.md__hierarchical__0002|expense-reimbursement-policy.md__hierarchical__0006|data-privacy-policy.md__hierarchical__0003,1,1.0,1,1.0,1,1.0
hierarchical,hybrid,q05,paraphrase,How quickly must an employee report a suspected security incident to IT?,1,3.1,259.4,it-security-policy.md__hierarchical__0011|data-privacy-policy.md__hierarchical__0009|code-of-conduct.md__hierarchical__0006|code-of-conduct.md__hierarchical__0009|data-privacy-policy.md__hierarchical__0008,1,1.0,1,1.0,1,1.0
hierarchical,hybrid,q06,keyword,What encryption standard is used to protect personal data at rest?,2,3.6,224.0,data-privacy-policy.md__hierarchical__0002|data-privacy-policy.md__hierarchical__0006|data-privacy-policy.md__hierarchical__0001|procurement-policy.md__hierarchical__0007|travel-policy.md__hierarchical__0004,0,0.0,1,0.5,1,0.5
hierarchical,hybrid,q07,paraphrase,How long does Northwind have to notify the supervisory authority after discovering a data breach?,1,2.8,218.2,data-privacy-policy.md__hierarchical__0008|data-privacy-policy.md__hierarchical__0003|data-privacy-policy.md__hierarchical__0002|data-privacy-policy.md__hierarchical__0004|procurement-policy.md__hierarchical__0007,1,1.0,1,1.0,1,1.0
hierarchical,hybrid,q08,keyword,What is the annual home-office stipend amount for remote workers?,1,2.3,243.6,remote-work-policy.md__hierarchical__0008|leave-policy.md__hierarchical__0008|benefits-policy.md__hierarchical__0011|expense-reimbursement-policy.md__hierarchical__0014|remote-work-policy.md__hierarchical__0001,1,1.0,1,1.0,1,1.0
hierarchical,hybrid,q09,paraphrase,After how many months of employment can someone start working from home?,,2.3,173.4,expense-reimbursement-policy.md__hierarchical__0009|benefits-policy.md__hierarchical__0005|code-of-conduct.md__hierarchical__0017|remote-work-policy.md__hierarchical__0010|leave-policy.md__hierarchical__0008,0,0.0,0,0.0,0,0.0
hierarchical,hybrid,q10,keyword,What is the company-wide default anchor day for in-office attendance?,1,2.2,223.2,remote-work-policy.md__hierarchical__0005|expense-reimbursement-policy.md__hierarchical__0014|leave-policy.md__hierarchical__0009|data-privacy-policy.md__hierarchical__0008|benefits-policy.md__hierarchical__0009,1,1.0,1,1.0,1,1.0
hierarchical,hybrid,q11,keyword,What are the standard vendor payment terms in the procurement policy?,1,3.8,192.0,procurement-policy.md__hierarchical__0009|travel-policy.md__hierarchical__0004|travel-policy.md__hierarchical__0007|expense-reimbursement-policy.md__hierarchical__0004|expense-reimbursement-policy.md__hierarchical__0011,1,1.0,1,1.0,1,1.0
hierarchical,hybrid,q12,paraphrase,"How many vendor quotes are required for purchases over $10,000?",1,3.3,259.6,procurement-policy.md__hierarchical__0004|leave-policy.md__hierarchical__0008|it-security-policy.md__hierarchical__0005|procurement-policy.md__hierarchical__0015|procurement-policy.md__hierarchical__0002,1,1.0,1,1.0,1,1.0
hierarchical,hybrid,q13,keyword,What is the minimum password length required by the IT security policy?,,2.3,223.8,it-security-policy.md__hierarchical__0001|code-of-conduct.md__hierarchical__0013|it-security-policy.md__hierarchical__0009|benefits-policy.md__hierarchical__0007|it-security-policy.md__hierarchical__0011,0,0.0,0,0.0,0,0.0
hierarchical,hybrid,q14,paraphrase,How often must employees rotate their passwords?,,2.0,241.2,benefits-policy.md__hierarchical__0003|data-privacy-policy.md__hierarchical__0009|remote-work-policy.md__hierarchical__0006|it-security-policy.md__hierarchical__0014|leave-policy.md__hierarchical__0008,0,0.0,0,0.0,0,0.0
hierarchical,hybrid,q15,keyword,What is the annual tuition assistance limit Northwind reimburses?,1,1.9,234.8,benefits-policy.md__hierarchical__0016|leave-policy.md__hierarchical__0008|leave-policy.md__hierarchical__0007|remote-work-policy.md__hierarchical__0008|leave-policy.md__hierarchical__0005,1,1.0,1,1.0,1,1.0
hierarchical,hybrid,q16,paraphrase,How much of the medical premium does Northwind cover for the employee?,1,2.0,236.4,benefits-policy.md__hierarchical__0009|leave-policy.md__hierarchical__0008|benefits-policy.md__hierarchical__0007|code-of-conduct.md__hierarchical__0013|benefits-policy.md__hierarchical__0006,1,1.0,1,1.0,1,1.0
hierarchical,hybrid,q17,keyword,What value of gift requires disclosure in the Gifts Register?,1,2.2,198.0,code-of-conduct.md__hierarchical__0009|code-of-conduct.md__hierarchical__0008|data-privacy-policy.md__hierarchical__0008|code-of-conduct.md__hierarchical__0003|remote-work-policy.md__hierarchical__0004,1,1.0,1,1.0,1,1.0
hierarchical,hybrid,q18,paraphrase,Within how many days must a new employee complete mandatory training modules?,1,2.7,243.2,onboarding-guide.md__hierarchical__0007|benefits-policy.md__hierarchical__0003|onboarding-guide.md__hierarchical__0001|code-of-conduct.md__hierarchical__0006|onboarding-guide.md__hierarchical__0008,1,1.0,1,1.0,1,1.0
hierarchical,hybrid,q19,keyword,What is the daily per diem for domestic business travel?,2,3.3,202.8,travel-policy.md__hierarchical__0007|travel-policy.md__hierarchical__0006|travel-policy.md__hierarchical__0009|expense-reimbursement-policy.md__hierarchical__0011|expense-reimbursement-policy.md__hierarchical__0014,0,0.0,1,0.5,1,0.5
hierarchical,hybrid,q20,paraphrase,How much parental leave does the primary caregiver receive?,1,2.5,213.2,leave-policy.md__hierarchical__0011|benefits-policy.md__hierarchical__0012|leave-policy.md__hierarchical__0010|leave-policy.md__hierarchical__0016|leave-policy.md__hierarchical__0008,1,1.0,1,1.0,1,1.0
